symbol,timestamp,open,high,low,close,volume
USDC,3/31/2019,1.0027,1.0039,1.0016,1.0025,1288488.66
USDC,4/1/2019,1.0025,1.0044,1.0011,1.0021,3019347.2
USDC,4/2/2019,1.0024,1.0049,0.9731,0.9922,9070509.37
USDC,4/3/2019,0.9921,0.9996,0.9825,0.9939,10676399.16
USDC,4/4/2019,0.9939,0.9996,0.988,0.9974,5004431.78
USDC,4/5/2019,0.9974,1.0036,0.9921,0.9935,3250103.6
USDC,4/6/2019,0.9935,1.001,0.9919,0.9998,3493783.0
USDC,4/7/2019,0.9991,1.0002,0.9925,0.9954,3788699.75
USDC,4/8/2019,0.9964,0.9993,0.981,0.9902,4972439.37
USDC,4/9/2019,0.9899,0.994,0.9832,0.993,3002838.95
USDC,4/10/2019,0.993,0.9995,0.988,0.9969,4362042.31
USDC,4/11/2019,0.9969,0.9983,0.9881,0.9948,5280473.63
USDC,4/12/2019,0.9948,0.997,0.99,0.9941,3537886.99
USDC,4/13/2019,0.994,0.9955,0.9921,0.9948,2047395.19
USDC,4/14/2019,0.9947,0.9968,0.9929,0.9933,2287931.9
USDC,4/15/2019,0.9933,1.001,0.9931,0.9994,4392482.87
USDC,4/16/2019,0.9994,1.0008,0.9932,0.9939,2792129.04
USDC,4/17/2019,0.9939,0.9966,0.9929,0.9953,2230460.68
USDC,4/18/2019,0.9953,0.9982,0.9931,0.9951,4335728.54
USDC,4/19/2019,0.9951,0.9983,0.995,0.995,3532605.03
USDC,4/20/2019,0.995,0.9983,0.9943,0.9943,3720446.74
USDC,4/21/2019,0.9944,0.996,0.9912,0.9921,4075604.46
USDC,4/22/2019,0.9921,0.9956,0.9916,0.9948,2704204.6
USDC,4/23/2019,0.9947,0.997,0.9927,0.9937,2830178.89
USDC,4/24/2019,0.9937,0.9956,0.9915,0.9951,4783104.44
USDC,4/25/2019,0.9951,1.0799,0.9944,1.0167,12392732.68
USDC,4/26/2019,1.0167,1.045,1.0163,1.0318,22215230.63
USDC,4/27/2019,1.0318,1.0333,1.0232,1.0243,4865391.91
USDC,4/28/2019,1.0243,1.0332,1.0238,1.0302,3278836.8
USDC,4/29/2019,1.0302,1.0309,1.016,1.0184,7615723.75
USDC,4/30/2019,1.018,1.0199,1.009,1.0098,6708100.96
USDC,5/1/2019,1.0098,1.017,1.0061,1.0121,7972016.77
USDC,5/2/2019,1.012,1.0249,1.0118,1.0199,5275587.08
USDC,5/3/2019,1.0199,1.028,1.0073,1.0192,9994634.62
USDC,5/4/2019,1.0198,1.0226,1.007,1.0107,6272471.21
USDC,5/5/2019,1.0111,1.0141,1.0075,1.0097,3088402.71
USDC,5/6/2019,1.0102,1.0145,1.0085,1.011,4937369.5
USDC,5/7/2019,1.011,1.0195,1.0055,1.0175,7762028.05
USDC,5/8/2019,1.0169,1.0249,1.007,1.0091,4203259.84
USDC,5/9/2019,1.0092,1.0159,1.006,1.0104,5790827.17
USDC,5/10/2019,1.0107,1.0163,1.0061,1.0091,4283712.86
USDC,5/11/2019,1.0093,1.0182,0.997,1.0018,18269314.23
USDC,5/12/2019,1.0018,1.0155,0.9975,1.0041,13426866.23
USDC,5/13/2019,1.0041,1.0057,0.9887,0.999,13043875.66
USDC,5/14/2019,0.999,1.0066,0.9905,0.996,13627170.87
USDC,5/15/2019,0.9964,1.002,0.9929,0.9959,8981773.72
USDC,5/16/2019,0.9957,1.0043,0.9924,0.9986,18877417.99
USDC,5/17/2019,0.9985,1.0247,0.995,0.9981,17801361.74
USDC,5/18/2019,0.9986,1.0013,0.9947,0.9994,7626666.99
USDC,5/19/2019,0.9992,1.0006,0.99,0.9942,12551144.88
USDC,5/20/2019,0.9939,1.0,0.991,0.9917,10050709.52
USDC,5/21/2019,0.9915,0.9971,0.991,0.994,12143484.77
USDC,5/22/2019,0.9936,1.012,0.993,1.0008,10939974.97
USDC,5/23/2019,1.0003,1.0018,0.9951,0.9967,7107961.3
USDC,5/24/2019,0.9965,0.9986,0.9913,0.996,8985925.91
USDC,5/25/2019,0.996,0.9974,0.9925,0.9949,6772852.4
USDC,5/26/2019,0.9945,0.9985,0.9852,0.9866,9570287.69
USDC,5/27/2019,0.987,0.9999,0.9856,0.997,14789334.95
USDC,5/28/2019,0.9969,1.0,0.9938,0.9991,7234647.59
USDC,5/29/2019,0.9987,1.0018,0.9959,0.9978,11556824.41
USDC,5/30/2019,0.9978,1.01,0.9955,0.9989,17443585.49
USDC,5/31/2019,0.9993,1.0044,0.9981,0.9993,7968367.54
USDC,6/1/2019,0.9993,1.0019,0.9972,0.9985,6286545.14
USDC,6/2/2019,0.9986,0.9999,0.995,0.9984,6530597.96
USDC,6/3/2019,0.9985,1.007,0.9965,1.0016,10576216.98
USDC,6/4/2019,1.0016,1.01,0.9981,1.0033,17141217.17
USDC,6/5/2019,1.003,1.0042,0.9973,0.9982,10020952.83
USDC,6/6/2019,0.9983,1.0007,0.9962,0.9976,6286039.55
USDC,6/7/2019,0.9975,0.999,0.9947,0.9971,5798600.45
USDC,6/8/2019,0.997,0.9988,0.9939,0.9962,3426963.07
USDC,6/9/2019,0.9962,0.9999,0.9946,0.9988,4474760.68
USDC,6/10/2019,0.9987,0.9992,0.993,0.9951,6113678.53
USDC,6/11/2019,0.995,0.998,0.9942,0.996,8278806.35
USDC,6/12/2019,0.996,0.9966,0.9925,0.9949,10414312.96
USDC,6/13/2019,0.9949,0.999,0.9938,0.9976,7753559.84
USDC,6/14/2019,0.9975,0.999,0.9944,0.9956,8335067.44
USDC,6/15/2019,0.9956,0.9976,0.9943,0.9953,8800492.41
USDC,6/16/2019,0.9953,1.0006,0.9931,0.9975,11634253.27
USDC,6/17/2019,0.9976,0.998,0.9938,0.9976,8530431.31
USDC,6/18/2019,0.9974,1.0024,0.9955,1.0001,8571274.76
USDC,6/19/2019,1.0001,1.002,0.9967,0.9972,5757322.05
USDC,6/20/2019,0.9974,0.9988,0.9947,0.9973,6475211.12
USDC,6/21/2019,0.9973,0.9999,0.995,0.995,10562385.68
USDC,6/22/2019,0.9951,1.0046,0.99,1.0039,20860340.84
USDC,6/23/2019,1.0043,1.0137,1.0029,1.0064,9451495.14
USDC,6/24/2019,1.0064,1.01,1.0003,1.0022,7305965.95
USDC,6/25/2019,1.0022,1.0085,1.0002,1.0047,9252557.57
USDC,6/26/2019,1.0048,1.0498,0.9983,1.0132,27990486.26
USDC,6/27/2019,1.0134,1.03,1.0045,1.0163,23162463.04
USDC,6/28/2019,1.0166,1.0259,1.0011,1.0044,12840119.07
USDC,6/29/2019,1.0044,1.0117,1.0005,1.0005,11746963.98
USDC,6/30/2019,1.0006,1.0144,0.9986,1.0101,9953087.06
USDC,7/1/2019,1.0098,1.0136,1.0029,1.0044,10558579.38
USDC,7/2/2019,1.0044,1.0104,0.9997,1.0009,14914449.69
USDC,7/3/2019,1.0009,1.0019,0.9946,0.9974,12799882.4
USDC,7/4/2019,0.9973,1.0032,0.9942,1.0002,9495314.59
USDC,7/5/2019,1.0002,1.004,0.9959,0.9992,6261076.02
USDC,7/6/2019,0.9992,1.0006,0.994,1.0001,7690641.32
