symbol,timestamp,open,high,low,close,volume
BTC,8/15/2021,47068.5,47372.27,45500.0,46973.82,42110.71133
BTC,8/16/2021,46973.82,48053.83,45660.0,45901.29,52480.57401
BTC,8/17/2021,45901.3,47160.0,44376.0,44695.95,57039.34163
BTC,8/18/2021,44695.95,46000.0,44203.28,44705.29,54099.41599
BTC,8/19/2021,44699.37,47033.0,43927.7,46760.62,53411.75392
BTC,8/20/2021,46760.62,49382.99,46622.99,49322.47,56850.35223
BTC,8/21/2021,49322.47,49757.04,48222.0,48821.87,46745.13658
BTC,8/22/2021,48821.88,49500.0,48050.0,49239.22,37007.8878
BTC,8/23/2021,49239.22,50500.0,49029.0,49488.85,52462.54195
BTC,8/24/2021,49488.85,49860.0,47600.0,47674.01,51014.59475
BTC,8/25/2021,47674.01,49264.3,47126.28,48973.32,44655.83034
BTC,8/26/2021,48973.32,49352.84,46250.0,46843.87,49371.27777
BTC,8/27/2021,46843.86,49149.93,46348.0,49069.9,42068.10497
BTC,8/28/2021,49069.9,49299.0,48346.88,48895.35,26681.06379
BTC,8/29/2021,48895.35,49632.27,47762.54,48767.83,32652.28347
BTC,8/30/2021,48767.84,48888.61,46853.0,46982.91,40288.35083
BTC,8/31/2021,46982.91,48246.11,46700.0,47100.89,48645.52737
BTC,9/1/2021,47100.89,49156.0,46512.0,48810.52,49904.65528
BTC,9/2/2021,48810.51,50450.13,48584.06,49246.64,54410.77054
BTC,9/3/2021,49246.63,51000.0,48316.84,49999.14,59025.64416
BTC,9/4/2021,49998.0,50535.69,49370.0,49915.64,34664.65959
BTC,9/5/2021,49917.54,51900.0,49450.0,51756.88,40544.83587
BTC,9/6/2021,51756.88,52780.0,50969.33,52663.9,49249.66708
BTC,9/7/2021,52666.2,52920.0,42843.05,46863.73,123048.8027
BTC,9/8/2021,46868.57,47340.99,44412.02,46048.31,65069.3152
BTC,9/9/2021,46048.31,47399.97,45513.08,46395.14,50651.66002
BTC,9/10/2021,46395.14,47033.0,44132.29,44850.91,49048.26618
BTC,9/11/2021,44842.2,45987.93,44722.22,45173.69,30440.4081
BTC,9/12/2021,45173.68,46460.0,44742.06,46025.24,32094.28052
BTC,9/13/2021,46025.23,46880.0,43370.0,44940.73,65429.15056
BTC,9/14/2021,44940.72,47250.0,44594.44,47111.52,44855.85099
BTC,9/15/2021,47103.28,48500.0,46682.32,48121.41,43204.71174
BTC,9/16/2021,48121.4,48557.0,47021.1,47737.82,40725.08895
BTC,9/17/2021,47737.81,48150.0,46699.56,47299.98,34461.92776
BTC,9/18/2021,47299.98,48843.2,47035.56,48292.74,30906.47038
BTC,9/19/2021,48292.75,48372.83,46829.18,47241.75,29847.24349
BTC,9/20/2021,47241.75,47347.25,42500.0,43015.62,78003.52444
BTC,9/21/2021,43016.64,43639.0,39600.0,40734.38,84534.08049
BTC,9/22/2021,40734.09,44000.55,40565.39,43543.61,58349.05542
BTC,9/23/2021,43546.37,44978.0,43069.09,44865.26,48699.57655
BTC,9/24/2021,44865.26,45200.0,40675.0,42810.57,84113.42629
BTC,9/25/2021,42810.58,42966.84,41646.28,42670.64,33594.57189
BTC,9/26/2021,42670.63,43950.0,40750.0,43160.9,49879.99765
BTC,9/27/2021,43160.9,44350.0,42098.0,42147.35,39776.84383
BTC,9/28/2021,42147.35,42787.38,40888.0,41026.54,43372.2624
BTC,9/29/2021,41025.01,42590.0,40753.88,41524.28,33511.53487
BTC,9/30/2021,41524.29,44141.37,41410.17,43824.1,46381.22781
BTC,10/1/2021,43820.01,48495.0,43283.03,48141.61,66244.87492
BTC,10/2/2021,48141.6,48336.59,47430.18,47634.9,30508.98131
BTC,10/3/2021,47634.89,49228.08,47088.0,48200.01,30825.05601
BTC,10/4/2021,48200.01,49536.12,46891.0,49224.94,46796.49372
BTC,10/5/2021,49224.93,51886.3,49022.4,51471.99,52125.66793
BTC,10/6/2021,51471.99,55750.0,50382.41,55315.0,79877.54518
BTC,10/7/2021,55315.0,55332.31,53357.0,53785.22,54917.37766
BTC,10/8/2021,53785.22,56100.0,53617.61,53951.43,46160.25785
BTC,10/9/2021,53955.67,55489.0,53661.67,54949.72,55177.08013
BTC,10/10/2021,54949.72,56561.31,54080.0,54659.0,89237.83613
BTC,10/11/2021,54659.01,57839.04,54415.06,57471.35,52933.16575
